ADC Channels: 1024,Number of Acquisitions: 2,Preset Time: 40,Save Directory: C:\Users\nunot\OneDrive\FC\Mestrado\2º Ano\Tese\Multichannel\Multichannel-Analyzer\DataAcquisition,Threshold: 0,Live Time: 0,Date: 2023-03-02 13:42:26.556384
0,0
1,170
2,157
3,129
4,151
5,159
6,146
7,144
8,138
9,142
10,155
11,126
12,136
13,137
14,164
15,146
16,124
17,146
18,135
19,142
20,154
21,161
22,134
23,121
24,140
25,142
26,149
27,131
28,151
29,154
30,147
31,148
32,138
33,157
34,162
35,144
36,138
37,130
38,139
39,150
40,142
41,136
42,147
43,155
44,150
45,166
46,138
47,163
48,139
49,134
50,162
51,151
52,135
53,138
54,145
55,152
56,149
57,124
58,140
59,146
60,138
61,132
62,143
63,150
64,162
65,161
66,150
67,121
68,148
69,143
70,129
71,141
72,142
73,140
74,123
75,127
76,142
77,125
78,155
79,164
80,162
81,152
82,130
83,131
84,147
85,151
86,155
87,132
88,150
89,155
90,126
91,135
92,108
93,145
94,162
95,158
96,142
97,146
98,141
99,166
100,161
101,142
102,139
103,137
104,152
105,135
106,163
107,150
108,160
109,141
110,150
111,144
112,126
113,134
114,130
115,128
116,143
117,122
118,149
119,154
120,123
121,164
122,131
123,137
124,141
125,150
126,139
127,129
128,148
129,152
130,142
131,149
132,145
133,141
134,161
135,155
136,136
137,146
138,158
139,146
140,147
141,125
142,167
143,145
144,153
145,156
146,143
147,125
148,151
149,156
150,132
151,158
152,133
153,150
154,151
155,149
156,136
157,132
158,159
159,133
160,159
161,159
162,178
163,147
164,141
165,140
166,132
167,153
168,150
169,147
170,148
171,137
172,146
173,145
174,135
175,124
176,132
177,151
178,139
179,138
180,142
181,136
182,160
183,128
184,153
185,148
186,145
187,140
188,149
189,132
190,145
191,140
192,154
193,127
194,149
195,144
196,153
197,127
198,140
199,147
200,147
201,146
202,144
203,131
204,138
205,143
206,142
207,145
208,139
209,145
210,153
211,129
212,143
213,123
214,182
215,168
216,141
217,140
218,129
219,138
220,148
221,144
222,136
223,133
224,122
225,137
226,154
227,123
228,163
229,153
230,132
231,140
232,143
233,149
234,157
235,139
236,144
237,147
238,152
239,149
240,173
241,135
242,153
243,149
244,133
245,136
246,154
247,149
248,130
249,145
250,151
251,157
252,161
253,127
254,132
255,143
256,155
257,135
258,152
259,157
260,149
261,127
262,138
263,133
264,132
265,161
266,148
267,150
268,129
269,133
270,151
271,171
272,146
273,144
274,138
275,151
276,146
277,134
278,144
279,151
280,142
281,135
282,131
283,149
284,149
285,137
286,156
287,143
288,163
289,156
290,147
291,140
292,127
293,140
294,149
295,136
296,128
297,150
298,153
299,174
300,130
301,124
302,150
303,139
304,154
305,165
306,166
307,153
308,142
309,165
310,129
311,135
312,151
313,155
314,156
315,148
316,144
317,139
318,149
319,174
320,173
321,137
322,126
323,147
324,135
325,150
326,152
327,153
328,138
329,147
330,122
331,126
332,147
333,138
334,136
335,157
336,169
337,150
338,148
339,144
340,147
341,156
342,143
343,147
344,134
345,155
346,136
347,144
348,148
349,148
350,154
351,144
352,145
353,155
354,148
355,160
356,136
357,128
358,138
359,132
360,153
361,152
362,138
363,141
364,144
365,141
366,141
367,160
368,131
369,155
370,145
371,140
372,150
373,138
374,166
375,136
376,138
377,144
378,177
379,146
380,169
381,147
382,143
383,125
384,139
385,149
386,142
387,131
388,151
389,146
390,145
391,125
392,150
393,147
394,152
395,146
396,151
397,160
398,139
399,139
400,160
401,157
402,143
403,144
404,171
405,164
406,138
407,143
408,159
409,132
410,152
411,147
412,146
413,150
414,148
415,153
416,147
417,152
418,146
419,146
420,150
421,151
422,148
423,131
424,138
425,144
426,153
427,143
428,127
429,139
430,157
431,170
432,152
433,148
434,143
435,139
436,160
437,131
438,157
439,153
440,147
441,152
442,156
443,158
444,132
445,158
446,137
447,132
448,152
449,166
450,142
451,133
452,165
453,121
454,132
455,145
456,149
457,157
458,144
459,137
460,163
461,129
462,137
463,145
464,138
465,153
466,137
467,164
468,145
469,153
470,145
471,161
472,140
473,158
474,139
475,144
476,151
477,163
478,145
479,132
480,142
481,145
482,138
483,136
484,149
485,171
486,152
487,145
488,151
489,141
490,158
491,145
492,142
493,153
494,147
495,130
496,173
497,134
498,162
499,153
500,130
501,124
502,165
503,144
504,160
505,133
506,154
507,150
508,138
509,159
510,150
511,148
512,160
513,138
514,127
515,152
516,131
517,157
518,144
519,119
520,145
521,134
522,136
523,135
524,161
525,157
526,148
527,140
528,149
529,128
530,128
531,143
532,146
533,153
534,140
535,126
536,140
537,146
538,137
539,150
540,156
541,135
542,152
543,124
544,142
545,160
546,132
547,145
548,148
549,127
550,146
551,132
552,163
553,133
554,145
555,125
556,152
557,129
558,128
559,142
560,125
561,134
562,164
563,166
564,130
565,172
566,161
567,145
568,133
569,163
570,150
571,161
572,150
573,152
574,144
575,137
576,169
577,153
578,126
579,161
580,141
581,144
582,168
583,150
584,138
585,146
586,152
587,133
588,150
589,145
590,155
591,140
592,150
593,132
594,139
595,145
596,126
597,162
598,137
599,137
600,130
601,126
602,146
603,137
604,142
605,126
606,145
607,140
608,136
609,140
610,165
611,157
612,139
613,151
614,159
615,151
616,172
617,135
618,154
619,158
620,146
621,149
622,158
623,156
624,176
625,151
626,135
627,161
628,154
629,147
630,160
631,139
632,151
633,131
634,172
635,138
636,150
637,154
638,139
639,122
640,172
641,135
642,157
643,134
644,152
645,133
646,143
647,135
648,143
649,137
650,137
651,138
652,142
653,137
654,148
655,142
656,143
657,156
658,127
659,146
660,142
661,158
662,135
663,149
664,148
665,141
666,150
667,169
668,133
669,151
670,142
671,149
672,144
673,159
674,146
675,144
676,137
677,146
678,134
679,145
680,147
681,136
682,179
683,160
684,159
685,127
686,138
687,136
688,128
689,134
690,162
691,152
692,139
693,122
694,160
695,141
696,128
697,161
698,146
699,118
700,141
701,153
702,154
703,154
704,165
705,147
706,160
707,138
708,133
709,137
710,138
711,113
712,170
713,149
714,147
715,148
716,161
717,142
718,140
719,146
720,151
721,130
722,142
723,138
724,159
725,175
726,139
727,138
728,147
729,139
730,144
731,137
732,163
733,136
734,134
735,141
736,140
737,150
738,145
739,155
740,140
741,153
742,149
743,133
744,139
745,151
746,143
747,128
748,151
749,129
750,132
751,147
752,135
753,126
754,152
755,154
756,144
757,158
758,127
759,131
760,134
761,162
762,150
763,152
764,160
765,157
766,143
767,134
768,157
769,159
770,140
771,138
772,145
773,143
774,157
775,147
776,157
777,128
778,140
779,154
780,128
781,156
782,158
783,142
784,139
785,167
786,133
787,126
788,131
789,125
790,151
791,169
792,140
793,132
794,144
795,149
796,179
797,150
798,127
799,130
800,148
801,146
802,141
803,136
804,141
805,150
806,126
807,134
808,155
809,133
810,141
811,155
812,165
813,167
814,132
815,163
816,157
817,139
818,142
819,133
820,154
821,125
822,125
823,133
824,142
825,151
826,167
827,140
828,157
829,140
830,158
831,152
832,153
833,154
834,149
835,157
836,140
837,135
838,137
839,143
840,135
841,140
842,147
843,145
844,133
845,161
846,135
847,160
848,147
849,137
850,149
851,135
852,172
853,138
854,168
855,156
856,142
857,136
858,159
859,126
860,133
861,146
862,143
863,136
864,168
865,135
866,151
867,145
868,130
869,156
870,139
871,146
872,152
873,124
874,144
875,128
876,149
877,146
878,140
879,154
880,171
881,136
882,117
883,137
884,149
885,153
886,147
887,151
888,142
889,130
890,146
891,144
892,160
893,170
894,140
895,150
896,156
897,154
898,136
899,146
900,149
901,139
902,139
903,143
904,130
905,124
906,152
907,128
908,131
909,153
910,135
911,144
912,161
913,155
914,170
915,130
916,146
917,138
918,173
919,151
920,117
921,148
922,148
923,158
924,140
925,149
926,127
927,132
928,135
929,130
930,162
931,144
932,146
933,157
934,143
935,154
936,136
937,147
938,154
939,150
940,136
941,144
942,141
943,135
944,132
945,138
946,152
947,143
948,134
949,162
950,160
951,154
952,148
953,137
954,153
955,110
956,147
957,142
958,149
959,130
960,137
961,147
962,158
963,127
964,143
965,142
966,149
967,156
968,150
969,148
970,150
971,132
972,161
973,135
974,157
975,139
976,168
977,145
978,140
979,125
980,145
981,150
982,160
983,133
984,167
985,139
986,158
987,155
988,138
989,133
990,155
991,143
992,147
993,136
994,141
995,139
996,158
997,134
998,161
999,160
1000,140
1001,144
1002,150
1003,140
1004,142
1005,135
1006,176
1007,134
1008,139
1009,126
1010,157
1011,154
1012,134
1013,145
1014,133
1015,140
1016,143
1017,151
1018,138
1019,173
1020,161
1021,140
1022,170
1023,0
